item,itemLabel,startDate,endDate
Q1898136,Marijonas Misiukonis,1990-01-17,1991-01-13
Q1383100,Petras Valiukas,1991-01-13,1992-12-17
Q2165005,Romasis Vaitiekūnas,1992-12-17,1996-03-19
Q1112331,Virgilijus Vladislovas Bulovas,1996-03-19,1996-12-10
Q1893972,Vidmantas Žiemelis,1996-12-10,1998-05-21
Q574618,Stasys Šedbaras,1998-05-22,1999-06-10
Q1193316,Česlovas Blažys,1999-06-10,2000-11-09
Q2535667,Vytautas Markevičius,2000-11-09,2001-07-12
Q12658459,Juozas Bernatonis,2001-07-12,2003-04-28
Q1112331,Virgilijus Vladislovas Bulovas,2003-05-13,2004-12-14
Q980957,Gintaras Furmanavičius,2004-12-14,2006-07-18
Q1685267,Raimondas Šukys,2006-07-18,2007-12-09
Q2137805,Regimantas Čiupaila,2007-12-17,2008-12-09
Q937621,Raimundas Palaitis,2008-12-09,2012-03-26
Q716040,Artūras Melianas,2012-04-16,2012-12-13
Q887795,Dailis Alfonsas Barakauskas,2012-12-13,2014-10-30
Q1797508,Saulius Skvernelis,2014-11-11,2016-04-13
Q16474208,Tomas Žilinskas,2016-04-13,2016-12-13
Q27976383,Eimutis Misiūnas,2016-12-13,2019-08-07
Q9310614,Rita Tamašunienė,2019-08-07,2020-12-11
Q395152,Agnė Bilotaitė,2020-12-11,
